Using backend: pytorch
Namespace(dataset='Cora', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  92816

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.7786 | Train Loss 0.6678 | Val Acc 0.5200 | Val loss 1.3836:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8929 | Train Loss 0.5730 | Val Acc 0.5460 | Val loss 1.3279:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8143 | Train Loss 0.6695 | Val Acc 0.5480 | Val loss 1.3784:  55%|█████▌    | 110/200 [00:01<00:00, 108.53it/s]
Train Acc 0.8143 | Train Loss 0.6695 | Val Acc 0.5480 | Val loss 1.3784:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8786 | Train Loss 0.6297 | Val Acc 0.5100 | Val loss 1.3951:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8357 | Train Loss 0.7407 | Val Acc 0.5560 | Val loss 1.2935:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8429 | Train Loss 0.6023 | Val Acc 0.5020 | Val loss 1.4135:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8929 | Train Loss 0.5932 | Val Acc 0.5200 | Val loss 1.3524:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8714 | Train Loss 0.6130 | Val Acc 0.5180 | Val loss 1.4188:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8286 | Train Loss 0.6492 | Val Acc 0.5220 | Val loss 1.3815:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8571 | Train Loss 0.6581 | Val Acc 0.4880 | Val loss 1.4057:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8143 | Train Loss 0.6300 | Val Acc 0.5020 | Val loss 1.4008:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8000 | Train Loss 0.6663 | Val Acc 0.5120 | Val loss 1.4031:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8643 | Train Loss 0.6571 | Val Acc 0.5080 | Val loss 1.3357:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.8286 | Train Loss 0.6363 | Val Acc 0.5520 | Val loss 1.3098:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.9000 | Train Loss 0.5075 | Val Acc 0.5320 | Val loss 1.3689:  61%|██████    | 122/200 [00:01<00:00, 109.66it/s]
Train Acc 0.9000 | Train Loss 0.5075 | Val Acc 0.5320 | Val loss 1.3689:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8571 | Train Loss 0.6290 | Val Acc 0.5740 | Val loss 1.2854:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8500 | Train Loss 0.5746 | Val Acc 0.5300 | Val loss 1.3673:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8429 | Train Loss 0.6064 | Val Acc 0.5380 | Val loss 1.3767:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8571 | Train Loss 0.6365 | Val Acc 0.5080 | Val loss 1.3654:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8786 | Train Loss 0.5796 | Val Acc 0.5100 | Val loss 1.3987:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8500 | Train Loss 0.6108 | Val Acc 0.5120 | Val loss 1.3871:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8929 | Train Loss 0.5521 | Val Acc 0.5240 | Val loss 1.3415:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8857 | Train Loss 0.5171 | Val Acc 0.5800 | Val loss 1.2911:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8429 | Train Loss 0.6082 | Val Acc 0.5800 | Val loss 1.2410:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8857 | Train Loss 0.5225 | Val Acc 0.5440 | Val loss 1.3287:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8929 | Train Loss 0.5737 | Val Acc 0.5700 | Val loss 1.3004:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8714 | Train Loss 0.5911 | Val Acc 0.5220 | Val loss 1.3434:  67%|██████▋   | 134/200 [00:01<00:00, 111.68it/s]
Train Acc 0.8714 | Train Loss 0.5911 | Val Acc 0.5220 | Val loss 1.3434:  73%|███████▎  | 146/200 [00:01<00:00, 111.36it/s]
Train Acc 0.8357 | Train Loss 0.6284 | Val Acc 0.5640 | Val loss 1.2825:  73%|███████▎  | 146/200 [00:01<00:00, 111.36it/s]
Train Acc 0.8500 | Train Loss 0.6104 | Val Acc 0.5480 | Val loss 1.3351:  73%|███████▎  | 146/200 [00:01<00:00, 111.36it/s]
Train Acc 0.8857 | Train Loss 0.5497 | Val Acc 0.5420 | Val loss 1.3244:  73%|███████▎  | 146/200 [00:01<00:00, 111.36it/s]
Train Acc 0.8643 | Train Loss 0.5617 | Val Acc 0.5300 | Val loss 1.4084:  73%|███████▎  | 146/200 [00:01<00:00, 111.36it/s]
Train Acc 0.9071 | Train Loss 0.4406 | Val Acc 0.5200 | Val loss 1.4324:  73%|███████▎  | 146/200 [00:01<00:00, 111.36it/s]
Train Acc 0.8929 | Train Loss 0.5332 | Val Acc 0.5160 | Val loss 1.3878:  73%|███████▎  | 146/200 [00:01<00:00, 111.36it/s]
